x1,x2,x3,x4,x5,x6,x7,x8,y
26.52,89.93,-60.46,1137.04,-3.49,,-5.88,-17.13,7.44
-68.18,-127.21,23.3,1471.49,16.95,2.3,-11.51,-7.7,7.31
-95.05,36.1,-75.27,1158.04,6.97,3.21,-5.86,8.65,-5.77
124.4,-8.19,,5527.92,7.36,7.23,10.77,1.92,-0.42
-103.25,,-2.89,4865.06,-5.21,-1.54,,4.69,4.31
16.17,77.38,58.33,3424.59,-5.51,3.03,0.11,-13.11,16.03
-56.13,2.33,7.56,4755.48,9.36,10.61,-3.2,-6.94,5.05
40.92,-59.52,-104.81,15328.92,,7.74,-0.7,-194.56,-10.02
23.98,30.74,,9009.81,-1.36,-5.55,-3.02,18.35,-9.0
68.14,117.52,-39.75,2484.03,25.14,2.71,-10.5,10.05,-1.01
0.67,61.32,19.57,1833.55,-4.62,2.53,,11.61,1.01
102.22,-113.34,-107.84,6502.81,23.24,8.33,-2.61,0.4,1.73
15.82,92.16,103.23,7830.48,-1.67,-1.0,-2.38,1.8,12.12
69.79,16.2,12.79,336.72,-1.49,1.99,7.07,4.25,1.66
-1.95,23.31,-11.91,33.52,7.07,2.42,,15.75,-4.8
2.09,63.42,25.93,500.86,0.67,,0.3,-11.43,12.24
41.49,7.89,-307.9,5396.37,-5.21,6.48,5.21,-8.03,-11.23
-53.05,,,,7.32,9.18,1.29,-4.3,-0.13
34.53,24.55,232.05,3717.34,-15.91,10.51,-9.43,-6.45,16.89
-47.83,68.33,-37.95,46945.89,17.38,-0.31,-5.99,-5.5,-4.75
167.44,91.71,33.97,5343.61,-15.28,21.24,-225.45,-24.2,21.48
200.73,156.09,,1386.82,0.73,3.51,9.77,9.64,-1.36
-126.03,19.53,-50.47,52.85,-5.57,0.43,1.5,-4.24,3.01
123.04,124.44,-218.92,75108.88,6.21,20.01,7.8,,5.43
129.44,53.73,-26.41,19729.01,14.62,-0.89,-7.53,-6.25,
-33.27,37.68,40.26,,22.14,21.13,0.86,-0.77,12.06
-27.19,-30.17,-82.07,2777.29,7.65,9.27,-9.28,10.96,-7.89
-62.68,38.27,1.62,1473.79,-4.04,9.3,12.96,-7.31,6.2
-21.3,,-166.04,141.85,4.67,-1.81,1.85,-4.78,-3.03
28.69,-32.89,35.96,1145.15,-15.17,20.25,-2.52,0.3,7.66
,-66.86,3155.31,3846.48,8.32,2.67,8.2,-0.93,7.35
75.65,41.68,119.96,9164.23,5.1,-5.08,,6.6,2.54
-6.76,7.72,-38.58,34480.78,17.69,2.72,-4.98,-13.64,16.7
97.77,,-72.85,35607.69,6.42,-3.01,9.41,7.13,-11.75
,-143.41,-100.46,15.92,-5.38,-4.09,-4.35,16.27,-9.47
-11.1,-140.85,-175.03,254.72,-6.21,-1.49,9.12,-15.87,3.23
261.81,-120.76,-2771.1,20721.6,-5.61,6.82,,-2.57,14.12
-78.66,19.09,70.64,7596.87,,-2.86,-3.61,-4.47,13.43
204.86,25.36,6.61,0.48,-2.24,-10.84,3.68,9.09,-0.65
33.29,15.47,-51.02,3326.98,-0.42,3.76,-5.65,-19.98,13.72
9.42,-2.53,350.59,4248.43,5.97,10.83,-14.57,-5.78,28.2
280.61,-125.2,-1.25,35130.0,8.21,-6.69,-17.24,5.66,8.83
114.55,73.64,-59.22,9300.67,4.46,,2.06,5.9,-6.73
58.82,36.89,,8675.06,-15.17,-8.03,-10.85,-2.86,11.64
98.45,-108.31,12.33,,-3.97,-7.46,17.23,-194.56,-4.15
-102.2,-146.13,-3.96,345.96,0.94,1.38,2.66,11.48,-1.24
16.19,-89.22,199.09,2877.25,18.5,12.36,-5.06,5.79,14.06
-2749.92,-36.02,-52.11,3878.8,-10.32,-6.58,0.91,14.74,-3.75
61.57,,-177.36,,,7.31,3.01,-8.17,-1.81
-35.29,-144.6,80.42,2585.72,2.77,2.53,-2.15,3.22,8.71
,193.42,-57.1,2181.82,-2.46,-4.01,16.66,11.13,
-118.44,-168.64,-237.34,1629.74,-3.85,3.57,-3.03,6.5,-9.96
97.49,-2327.2,55.18,,-0.7,-5.39,1.84,,4.73
-15.31,124.99,-9.32,11.09,4.21,-16.61,5.56,-3.7,4.82
-15.54,,-93.31,289.0,,-13.04,-8.52,,1.9
-93.15,-43.66,-60.36,5754.74,-4.32,-24.88,-8.84,-2.76,-1.98
41.95,-120.54,87.69,8675.06,-12.67,-0.07,14.25,4.02,2.41
37.18,28.85,114.22,8589.58,-7.63,,-9.21,2.19,13.24
133.92,-119.29,-75.49,5590387.36,2.02,18.18,4.35,-7.2,14.7
-14.43,0.68,-91.41,13890.98,-24.43,-13.07,12.65,10.81,-11.81
-82.81,72.06,42.5,16646.16,9.9,12.82,2.06,-2.9,2.34
-73.92,-24.97,125.06,13862.71,3.16,22.32,220.95,12.02,0.01
191.29,-132.02,-80.73,27221.7,2.6,5.55,-7.05,4.22,4.8
-9.69,77.14,16.75,5800.35,,-9.79,-23.37,-4.14,3.19
42.25,66.02,-31.02,1266.65,10.09,12.0,-2.67,,-5.8
99.24,-20.25,4.72,2956.1,5.6,-3.96,-0.39,207.04,18.42
-108.68,26.32,-98.88,,-6.55,-9.67,4.42,-16.18,-1.53
-10.68,210.27,-35.11,200.79,-9.44,1.07,-10.79,-0.92,3.11
164.52,132.04,4.18,4729.31,-5.7,8.34,-7.56,9.28,-3.27
2244.88,-4.6,211.12,,-13.46,5.0,-7.36,10.14,10.65
-27.65,-3.34,288.46,8.53,5.81,10.15,-2.72,7.28,15.49
89.76,107.82,-35.16,7619.54,2.49,-7.5,-21.84,-0.57,-1.71
-48.25,166.71,-76.25,51769.9,-9.65,-11.21,9.9,-12.27,-4.19
55.27,65.5,59.99,196.28,-23.51,-0.24,5.47,-4.39,8.55
,-118.78,37.11,5204.18,-13.35,8.83,-1.85,-14.85,10.34
66.75,80.95,10.71,3222.83,-3.08,-4.98,14.12,-6.48,5.03
6.12,-162.75,-26.08,2637.85,-0.82,-19.76,9.84,,-6.9
164.59,-52.94,47.51,11.63,10.41,-12.19,,5.62,3.3
0.14,157.1,-36.58,332.7,-1.5,-9.69,16.71,1.45,1.69
-84.7,-290.9,137.8,3679.64,-21.68,6.55,10.79,2.8,12.47
18.5,-19.23,99.67,3432.79,2.44,188.88,8.54,-23.11,18.33
37.79,103.27,-68.96,38447.37,-234.99,5.54,3.47,-13.47,-1.34
-116.0,135.26,49.13,3781.02,-7.29,1.32,5.75,-6.19,12.18
-80.31,-50.88,-72.07,64.32,4.17,7.92,-6.09,-10.95,6.12
40.2,12.86,-255.66,12003.39,1.81,8.92,-15.12,13.54,-11.28
,4.64,-55.19,27380.32,,-19.93,-2.69,-6.15,-3.73
-198.06,132.92,90.39,6159.11,10.17,6.52,-4.31,-9.59,10.16
-104.11,230.11,-0.42,30123.07,14.28,5.9,6.4,-3.84,-1.57
69.72,-30.1,41.05,1030.41,-9.75,11.95,17.51,10.11,2.71
2244.88,-136.56,-47.59,11.09,-3.6,,2.93,-5.78,3.67
-88.17,158.12,-47.53,239.63,1.18,-4.95,-4.21,-2.15,1.61
136.02,223.53,204.12,732.24,10.17,12.27,-4.73,4.66,11.41
-17.02,-78.18,-2771.1,1358.66,1.3,11.78,-3.83,19.97,-3.51
,85.91,56.77,1265.22,-1.34,-8.27,13.29,-7.1,11.62
96.85,-245.21,-21.63,1460.77,23.53,11.81,4.31,-3.55,3.2
-42.05,-2327.2,89.85,3906.25,-6.42,-3.28,-10.65,0.48,5.51
146.39,127.3,-10.73,5115.11,-3.29,1.81,,6.28,-2.88
32.54,-15.77,63.34,22864.46,-6.01,9.01,-7.19,11.76,-4.94
85.97,-215.1,93.51,4323.06,-4.05,10.57,-11.13,12.0,0.25
-122.02,44.68,41.82,3459.79,4.44,11.02,-4.84,-2.0,4.83
92.75,65.92,-27.99,5694.21,-26.11,12.97,-20.4,,-4.14
-80.9,78.79,-40.02,6551.28,21.96,188.88,-2.39,2.44,4.7
10.8,129.32,-70.09,10924.43,1.32,2.93,4.94,9.09,-8.77
-180.04,291.69,-58.88,471.32,-9.13,16.91,-19.82,-4.96,2.82
44.23,,-4.85,46915.56,16.88,-5.56,-3.83,18.59,-15.18
-87.94,40.19,,22885.64,-15.31,-14.81,2.35,-3.97,9.91
247.93,-83.85,-53.45,5.24,-18.98,-11.59,0.08,-2.98,2.07
19.49,149.6,122.27,1876.62,-1.13,19.82,11.08,5.51,9.97
,-64.39,3155.31,42320.72,1.83,-3.53,-8.74,-22.58,22.95
-9.4,-6.48,,5572.62,-11.19,5.99,,4.97,4.61
-343.74,-138.51,41.67,33.41,-9.51,10.67,5.27,25.88,-6.79
-76.21,-72.67,-14.18,12891.33,6.81,2.21,9.21,-23.23,9.84
,15.7,77.17,6486.69,-7.9,13.45,-7.69,-12.97,18.23
12.21,-163.15,105.35,1628.12,3.23,6.19,3.68,8.19,7.2
126.43,-193.02,33.27,2944.15,12.02,-13.39,,-10.35,12.66
-95.75,-51.8,-88.39,506.25,9.38,-9.06,-21.06,2.94,-1.56
56.7,115.78,-184.66,5066.59,5.77,19.53,1.19,-9.66,-3.47
-74.85,77.53,-92.33,4777.57,226.26,3.87,-0.56,1.86,-4.77
102.64,110.77,-17.33,21170.25,-2.97,7.01,-4.71,1.09,8.88
-218.25,,-123.19,27845.6,10.96,1.74,-2.53,-18.91,-0.32
48.75,-22.93,25.1,3070.27,-12.89,12.11,10.12,-1.26,3.77
-25.12,-122.68,133.83,291.38,1.93,-4.63,-5.14,-3.55,11.73
-22.79,84.71,-242.21,521.21,5.48,15.18,6.72,-2.03,-6.36
80.82,-7.19,79.15,2018.7,16.13,-1.26,-5.23,18.95,-3.43
-44.44,-79.82,95.07,4977.3,19.09,10.48,24.55,16.65,-2.2
192.11,-44.49,-42.25,26820.61,3.37,15.23,7.33,-7.24,12.77
-68.92,-185.42,-146.06,1008.7,-3.69,-9.42,-7.6,-0.4,-2.52
33.77,-83.78,22.19,5397.84,-2.94,-0.04,-0.35,-14.88,9.24
-65.27,100.36,144.76,28463.06,8.84,-18.7,15.89,8.73,-0.79
-17.96,119.58,,2955.01,-9.69,6.8,-9.31,9.42,-4.99
-36.23,117.92,-23.27,71904.42,-17.66,,-6.31,1.85,13.14
-67.73,2333.52,33.8,22701.45,,-11.14,-1.01,-11.8,17.63
-132.49,1.7,-78.3,27915.73,-15.68,-10.46,2.7,-9.66,11.43
141.59,-60.46,29.57,7708.84,1.61,19.03,-5.75,11.66,3.95
63.12,-131.26,94.65,2907.37,-2.38,7.65,10.9,1.49,10.61
101.39,-160.06,45.59,30611.0,4.46,10.85,-7.12,-5.99,2.0
-90.16,17.1,82.75,4039.87,-4.78,-6.24,-4.86,1.82,4.33
-4.83,-193.87,12.5,25692.88,-1.08,2.83,-2.84,-1.95,12.46
34.73,274.12,40.84,11791.79,-4.55,-0.39,-2.61,2.72,9.29
121.18,11.27,31.92,1774.09,10.96,-3.36,-6.19,-14.99,14.68
194.16,-86.97,-109.91,13351.8,20.65,4.15,0.2,,5.55
-14.98,62.58,48.84,355.32,12.47,,-11.08,17.94,-2.9
75.0,-45.75,-86.98,19295.99,6.35,-8.55,2.25,-8.83,9.41
-177.77,-29.86,143.54,1167.59,-9.32,-2.65,-15.52,6.69,6.46
-47.11,27.23,-70.94,433.89,11.34,1.77,7.08,3.47,-2.44
63.97,-168.73,-10.44,75.17,-3.09,10.91,-4.93,3.55,2.24
131.08,-77.01,79.63,248.69,-11.64,-0.63,-16.84,0.56,8.38
98.61,-33.69,78.03,2128.9,-2.41,-13.08,220.95,3.55,7.74
2.45,-136.44,13.14,4419.59,-4.94,0.38,23.76,7.87,3.48
,158.81,19.37,5444.96,7.72,-0.86,6.02,-18.19,10.7
-137.64,-5.77,65.71,25100.06,-4.35,0.74,2.23,14.88,6.72
99.66,-45.85,-7.09,25763.46,7.63,-16.22,-6.25,1.64,9.07
53.34,2333.52,-27.52,87349.8,-19.73,4.86,9.76,10.68,-15.51
-126.03,-150.32,22.48,13483.85,-1.97,-4.51,-25.05,-1.83,10.79
-175.04,185.18,-95.42,19465.83,-9.19,,6.32,-12.87,11.12
-46.9,89.87,13.06,172.92,2.25,14.47,19.05,1.55,3.63
51.79,-31.48,18.03,1377.89,6.56,-223.92,5.26,-10.1,8.61
15.68,37.94,-31.1,1212.43,11.59,-5.3,-225.45,8.53,-3.7
-2749.92,36.35,-169.97,9104.98,-4.82,-9.94,17.16,1.01,-9.97
206.08,-39.41,84.08,8001.3,6.08,-6.61,-13.26,3.8,2.29
33.41,-69.98,,15183.17,14.4,-4.4,20.85,-3.39,19.08
6.23,-34.93,-65.58,7298.28,-2.18,5.51,0.21,0.31,-3.26
27.68,114.43,-153.82,,-3.99,-12.54,7.16,1.71,-9.03
-73.46,-84.26,13.65,5590387.36,3.44,8.22,7.23,13.79,-2.71
160.42,95.33,-20.47,61330.52,-11.9,12.98,-4.94,7.27,-11.12
-28.99,7.38,79.22,23.62,-0.08,6.92,15.7,-13.86,15.31
-12.98,92.2,22.83,4637.61,-15.3,5.29,6.9,-9.95,13.09
116.25,37.87,-111.57,374.81,-4.09,2.15,2.24,-3.74,0.77
