x1,x2,x3,x4,x5,x6,x7,x8,y
58.76,123.79,-3.12,-13.11,4.03,224.4,-248.42,7.18,6.73
120.85,163.83,14.75,-2.12,8.61,28.05,-73.58,670.29,7.28
-19.3,39.05,0.55,1.34,-1.7,-2.19,308.07,3567.67,5.22
-65.72,-36.37,10.76,-8.88,15.04,-5.7,14.6,1054.3,6.66
11.0,-64.78,-3.23,7.37,25.74,20.48,91.13,102.21,-0.25
-41.78,-91.8,-2.67,194.24,8.13,7.98,-79.78,2461.15,3.01
-21.03,-69.3,3.01,8.19,12.68,0.0,-1987.36,2183.69,3.61
19.84,,15.04,2.11,-10.95,-0.82,-11.3,10.82,2.19
-21.32,2.66,4.68,-5.56,24.72,4.04,9.96,751.86,6.25
58.85,-1.15,,12.78,,-2.26,-46.94,34.93,0.96
217.68,-68.72,8.62,-2.33,17.62,-22.67,203.47,70103.15,1.45
55.95,-150.63,4.61,-9.91,10.93,-10.02,-26.67,18.58,-6.72
33.78,-42.86,9.55,0.59,-9.67,,-73.78,19038.48,-6.26
-178.61,154.69,-3.89,-17.78,10.68,-3.82,-71.8,2970.25,18.25
135.68,-7.72,13.87,3.75,1.15,2.57,11.53,87.05,-3.69
-183.57,-98.55,5.31,10.11,4.46,0.77,191.59,8864.22,4.36
-193.22,-117.73,7.21,-6.08,-3.16,1.38,28.92,2429.5,9.52
206.47,-4.51,-3.04,-1.75,-3.32,4.31,,16525.1,-0.97
38.01,42.26,2.91,1.62,-0.48,,68.23,11395.56,-0.23
-15.23,,18.44,-3.82,14.94,-1.55,50.56,6543.19,13.96
8.84,,-16.0,-21.04,-1.22,8.32,-56.75,1615.24,
-212.5,-25.43,-5.48,-10.94,12.59,-3.5,46.21,7074.49,9.61
27.17,75.79,-19.3,,-7.57,-5.77,-143.3,6539.96,9.49
-2637.52,42.39,-2.6,2.8,0.07,-15.47,84.42,202.78,11.18
95.9,-32.15,17.15,16.67,-216.32,-9.99,-135.41,2773.08,-5.31
,-183.84,-12.09,-0.35,1.16,-6.88,,26526.64,-13.25
-26.61,138.97,-5.81,4.34,-0.57,-282.96,87.27,8246.46,8.79
,56.07,3.98,,,,128.47,,9.04
,-131.81,2.26,10.14,-16.24,-13.36,-34.45,3891.26,-13.11
2661.48,-21.44,1.99,-0.68,-11.9,-8.74,-66.66,4178.33,2.9
-221.37,133.86,-9.05,7.05,-2.62,13.24,-32.59,937.58,23.08
-31.68,-113.68,-5.14,-14.74,,3.82,-98.17,1554.72,0.87
-72.63,-110.51,,0.86,-0.05,-12.12,-124.83,5620.5,-1.94
251.83,-49.05,7.98,-2.34,-7.69,-10.31,-110.58,2418.67,-9.49
24.07,180.71,-10.41,1.72,15.09,-4.12,68.51,7503435.78,18.15
142.43,-111.37,,0.69,18.23,-1.68,35.75,33822.89,-1.04
-11.38,31.56,15.48,-12.8,0.89,,-168.27,2205.24,3.51
169.29,10.7,-21.65,-6.12,-9.54,-2.59,67.95,491.51,-2.87
51.62,-78.86,-12.15,-7.36,-12.75,-2.73,,2203.36,-0.99
-67.84,51.04,-25.78,14.24,-10.43,1.79,-157.05,85100.56,-3.17
31.83,71.39,13.64,0.97,-20.87,21.7,-95.77,19104.77,11.65
-66.49,2217.6,6.3,-10.74,5.76,8.72,73.5,4041.14,16.66
33.11,-171.87,-4.65,9.73,0.39,6.12,-76.41,3804.42,-9.69
130.52,-171.85,-10.21,0.45,-9.87,12.64,-103.38,2.92,-11.89
113.07,-2.15,,-5.39,3.83,224.4,50.5,77969.39,-13.78
-6.27,,-27.79,15.6,10.19,21.93,-95.17,9682.56,3.08
-94.82,-190.44,-12.76,0.43,11.67,7.49,79.37,394.02,-0.3
6.64,-115.38,2.45,14.94,-21.78,-7.8,-160.29,4225.0,-5.82
-70.83,-59.2,14.32,5.18,,5.23,-125.28,0.48,3.91
-157.29,107.93,-5.68,3.27,-13.17,7.15,20.32,19731.82,23.44
2.1,-229.12,3.77,-0.86,,18.89,-79.16,580.81,-7.45
-5.59,-129.43,8.77,-1.21,-17.31,-7.84,10.99,2815.36,-0.33
150.14,-53.27,-7.91,5.45,-7.19,,90.19,26513.61,0.87
-24.79,-158.24,7.38,-1.74,-0.34,4.19,106.83,5947.49,-6.19
43.04,162.97,-19.5,17.28,1.16,-2.43,-52.25,,7.14
-19.51,-4.2,12.97,-4.07,8.7,-4.42,-4.89,7141.94,0.93
-73.71,-21.27,5.75,13.89,-1.26,8.47,140.98,6188.97,3.44
29.26,-11.58,2.05,-5.85,-16.32,-2.15,-187.63,3414.06,3.71
-15.14,143.26,-5.96,24.28,-13.73,-282.96,30.31,32048.16,19.9
-74.65,153.0,1.15,-19.0,1.93,-5.34,33.03,2601.0,13.46
-27.6,49.92,-13.0,-3.59,3.25,2.39,,548.96,6.85
6.8,-9.17,-14.86,7.66,4.25,1.77,69.91,5356.78,6.39
163.0,-130.77,-13.44,-1.72,13.52,-12.63,55.86,900.0,-12.24
-45.69,-17.5,15.47,,1.52,8.6,14.83,5700.25,8.5
-79.29,42.96,-6.86,5.85,-0.81,5.6,-85.66,5446435.74,9.33
,-221.86,,7.45,-0.09,-9.41,,4643.06,-9.93
124.58,-130.55,8.0,7.56,-3.29,5.42,20.48,3996.77,-6.4
-92.94,20.13,-4.94,-7.35,-10.08,0.78,43.27,7546.4,5.91
-192.77,-109.25,-2.26,-15.41,-27.04,-9.23,122.98,9080.18,12.21
101.44,-177.56,10.33,-7.7,-0.42,,55.11,24885.06,-17.13
-11.66,70.63,-1.68,8.08,-8.05,-3.79,114.63,21512.09,14.79
